model,level,conf_bin,n,accuracy,mean_conf
claude,L1,0.2-0.4,30,0.8,0.35
claude,L1,0.4-0.6,39,0.4872,0.45
claude,L1,0.6-0.8,419,0.7613,0.7315
claude,L1,0.8-1.0,642,0.9065,0.8714
claude,L2,0.0-0.2,10,0.0,0.0
claude,L2,0.2-0.4,21,0.4762,0.35
claude,L2,0.4-0.6,39,0.2051,0.45
claude,L2,0.6-0.8,407,0.7297,0.7285
claude,L2,0.8-1.0,653,0.9081,0.8716
claude,L3,0.2-0.4,40,0.5,0.35
claude,L3,0.4-0.6,37,0.2703,0.45
claude,L3,0.6-0.8,393,0.7506,0.7316
claude,L3,0.8-1.0,660,0.8758,0.8715
claude,L4,0.2-0.4,20,0.5,0.35
claude,L4,0.4-0.6,20,0.05,0.455
claude,L4,0.6-0.8,405,0.6642,0.7299
claude,L4,0.8-1.0,685,0.9109,0.8754
claude,L5,0.2-0.4,15,1.0,0.35
claude,L5,0.4-0.6,45,0.2222,0.45
claude,L5,0.6-0.8,392,0.6684,0.7388
claude,L5,0.8-1.0,678,0.8968,0.8762
deepseek,L1,0.2-0.4,9,0.0,0.3
deepseek,L1,0.4-0.6,71,0.1408,0.45
deepseek,L1,0.6-0.8,20,0.0,0.75
deepseek,L1,0.8-1.0,1030,0.8447,0.8791
deepseek,L2,0.2-0.4,12,0.0,0.3
deepseek,L2,0.4-0.6,68,0.1471,0.45
deepseek,L2,0.6-0.8,40,0.25,0.7
deepseek,L2,0.8-1.0,1010,0.8416,0.8755
deepseek,L3,0.2-0.4,1,1.0,0.3
deepseek,L3,0.4-0.6,79,0.1266,0.45
deepseek,L3,0.6-0.8,40,0.25,0.7
deepseek,L3,0.8-1.0,1010,0.8426,0.8806
deepseek,L4,0.4-0.6,80,0.125,0.45
deepseek,L4,0.6-0.8,50,0.2,0.69
deepseek,L4,0.8-1.0,1000,0.82,0.882
deepseek,L5,0.2-0.4,1,0.0,0.3
deepseek,L5,0.4-0.6,78,0.1282,0.45
deepseek,L5,0.6-0.8,63,0.1746,0.6968
deepseek,L5,0.8-1.0,988,0.8482,0.8837
openai,L1,0.0-0.2,63,0.0,0.0
openai,L1,0.2-0.4,5,0.0,0.3
openai,L1,0.4-0.6,186,0.0323,0.4081
openai,L1,0.6-0.8,179,0.5642,0.6941
openai,L1,0.8-1.0,697,0.792,0.841
openai,L2,0.0-0.2,81,0.0,0.0
openai,L2,0.2-0.4,7,0.0,0.3
openai,L2,0.4-0.6,215,0.1395,0.4181
openai,L2,0.6-0.8,139,0.5396,0.6993
openai,L2,0.8-1.0,688,0.8328,0.842
openai,L3,0.0-0.2,74,0.0,0.0
openai,L3,0.2-0.4,16,0.0,0.3
openai,L3,0.4-0.6,251,0.1036,0.4163
openai,L3,0.6-0.8,135,0.6074,0.6978
openai,L3,0.8-1.0,654,0.7951,0.8442
openai,L4,0.0-0.2,76,0.0,0.0
openai,L4,0.2-0.4,1,0.0,0.3
openai,L4,0.4-0.6,263,0.1863,0.4234
openai,L4,0.6-0.8,116,0.4138,0.7022
openai,L4,0.8-1.0,674,0.7864,0.847
openai,L5,0.0-0.2,54,0.0,0.0
openai,L5,0.2-0.4,9,0.0,0.3
openai,L5,0.4-0.6,233,0.1373,0.4206
openai,L5,0.6-0.8,133,0.391,0.703
openai,L5,0.8-1.0,701,0.7718,0.8461
