model,metric,L1,L2,L3,L4,L5,abs_gain,rel_gain_pct,best_level
claude,accuracy,0.8354,0.8035,0.7991,0.8,0.792,-0.0434,-5.19,L1
claude,f1_macro,0.851,0.7912,0.7986,0.781,0.7418,-0.1092,-12.83,L1
claude,kappa,0.8275,0.7943,0.7897,0.7904,0.782,-0.0455,-5.5,L1
deepseek,accuracy,0.7788,0.7699,0.7717,0.7434,0.7602,-0.0186,-2.39,L1
deepseek,f1_macro,0.7675,0.7622,0.7678,0.7449,0.7523,-0.0152,-1.98,L3
deepseek,kappa,0.7679,0.7589,0.7606,0.731,0.7488,-0.0191,-2.49,L1
openai,accuracy,0.5832,0.6,0.5558,0.5549,0.5531,-0.0301,-5.16,L2
openai,f1_macro,0.597,0.5943,0.5739,0.5697,0.5474,-0.0496,-8.31,L1
openai,kappa,0.5679,0.585,0.5407,0.5392,0.5371,-0.0308,-5.42,L2
