model,level,total_errors,within_theme_errors,cross_theme_errors,within_theme_pct,cross_theme_pct
claude,L1,186,88,98,47.3,52.7
claude,L2,222,81,141,36.5,63.5
claude,L3,227,92,135,40.5,59.5
claude,L4,226,93,133,41.2,58.8
claude,L5,235,110,125,46.8,53.2
deepseek,L1,250,130,120,52.0,48.0
deepseek,L2,260,120,140,46.2,53.8
deepseek,L3,258,129,129,50.0,50.0
deepseek,L4,290,140,150,48.3,51.7
deepseek,L5,271,131,140,48.3,51.7
openai,L1,471,224,247,47.6,52.4
openai,L2,452,214,238,47.3,52.7
openai,L3,502,231,271,46.0,54.0
openai,L4,503,218,285,43.3,56.7
openai,L5,505,240,265,47.5,52.5
